1;Patricio Rosso;1998-09-15 00:00:00.0000000;2018-04-01 00:00:00.0000000;1;0;2
3;Carlos Martínez;2001-02-02 00:00:00.0000000;2019-08-16 00:00:00.0000000;1;0;3
4;Ana López;2000-03-03 00:00:00.0000000;2021-08-16 00:00:00.0000000;1;0;3
6;Miguel Ledesma;1992-04-04 00:00:00.0000000;2009-08-16 00:00:00.0000000;0;1;4
7;Laura Fernández;1997-05-05 00:00:00.0000000;2010-10-19 00:00:00.0000000;0;1;6
8;Andrés Mendoza;2002-06-06 00:00:00.0000000;2022-09-01 00:00:00.0000000;1;0;2
9;Valeria Torres;1999-07-07 00:00:00.0000000;2018-08-20 00:00:00.0000000;1;0;3
10;Diego Sánchez;2003-08-08 00:00:00.0000000;2021-07-15 00:00:00.0000000;1;0;4
11;Isabella Ramirez;2001-09-09 00:00:00.0000000;2023-01-10 00:00:00.0000000;1;0;5
12;Santiago Herrera;2002-10-10 00:00:00.0000000;2022-03-18 00:00:00.0000000;1;0;6
13;Camila Rios;2000-11-11 00:00:00.0000000;2020-12-05 00:00:00.0000000;1;0;2
14;Juan Carlos Vargas;2003-12-12 00:00:00.0000000;2021-05-02 00:00:00.0000000;1;0;3
15;Mariana Paredes;2000-01-13 00:00:00.0000000;2023-04-11 00:00:00.0000000;1;0;4
16;Felipe Nunez;2002-02-14 00:00:00.0000000;2022-06-25 00:00:00.0000000;1;0;5
17;Daniela Jimenez;2001-03-15 00:00:00.0000000;2020-09-08 00:00:00.0000000;1;0;6
18;Hugo Montoya;2003-04-16 00:00:00.0000000;2023-02-28 00:00:00.0000000;1;0;2
19;Natalia Silva;2002-05-17 00:00:00.0000000;2021-10-15 00:00:00.0000000;1;0;3
20;Ricardo Ortega;2000-06-18 00:00:00.0000000;2020-07-22 00:00:00.0000000;1;0;4
21;Fernanda Cruz;2003-07-19 00:00:00.0000000;2023-05-09 00:00:00.0000000;1;0;5
22;Sebastián Vila;2002-08-20 00:00:00.0000000;2022-04-03 00:00:00.0000000;1;0;6
23;Pablo Almada;1991-02-28 00:00:00.0000000;2008-07-17 00:00:00.0000000;0;1;6
24;Cristian Herrera;2000-06-06 00:00:00.0000000;2019-06-12 00:00:00.0000000;1;0;2
25;Nahuel Molina;1994-02-08 00:00:00.0000000;2023-08-16 00:00:00.0000000;1;0;2
26;Kaine MacCaughen;1994-07-25 00:00:00.0000000;2019-12-01 00:00:00.0000000;1;0;13
27;Matilda Hapgood;1994-02-04 00:00:00.0000000;2020-08-30 00:00:00.0000000;0;1;4
28;Adriane Inger;2002-03-10 00:00:00.0000000;2022-07-21 00:00:00.0000000;1;0;2
29;Inness Kearton;2000-03-25 00:00:00.0000000;2022-05-13 00:00:00.0000000;1;0;12
30;Franky Holdworth;1997-04-12 00:00:00.0000000;2019-05-08 00:00:00.0000000;0;1;5
31;Nedda Wilshaw;2000-11-23 00:00:00.0000000;2013-10-01 00:00:00.0000000;0;1;8
32;Theadora Claessens;2003-05-31 00:00:00.0000000;2022-06-13 00:00:00.0000000;1;0;2
33;Joly Buffham;1993-04-20 00:00:00.0000000;2012-11-15 00:00:00.0000000;1;0;9
34;Dee dee Panyer;1992-08-21 00:00:00.0000000;2021-07-20 00:00:00.0000000;0;1;4
35;Floris Linton;2002-03-03 00:00:00.0000000;2015-09-09 00:00:00.0000000;0;1;14
36;Katerina Morrott;1999-05-10 00:00:00.0000000;2018-10-09 00:00:00.0000000;1;1;4
37;Kaiser Pennycord;2000-05-23 00:00:00.0000000;2011-12-26 00:00:00.0000000;0;1;14
38;Germaine Baldocci;1993-05-19 00:00:00.0000000;2011-10-06 00:00:00.0000000;0;1;2
39;Horace Detoile;1994-06-25 00:00:00.0000000;2019-05-27 00:00:00.0000000;0;1;13
40;Spenser Whittick;1993-03-20 00:00:00.0000000;2013-04-27 00:00:00.0000000;0;0;3
41;Pietra Porcas;2001-10-25 00:00:00.0000000;2012-03-12 00:00:00.0000000;0;0;13
42;Eadith Medlen;2002-02-07 00:00:00.0000000;2018-06-23 00:00:00.0000000;1;0;9
